book_name,public_info,rating_num,comment_num
风中玫瑰,帕姆•穆尼奥兹•瑞安 / 邹嘉容 / 吉林摄影出版社 / 2014-9 / 18.96,7.4,(12人评价)
Windows 程序设计：第5版,CharlesPetzold / 北京博彦科技发展有限公司 / 北京大学出版社 / 2003-11-1 / 160.00元,8.9,(602人评价)
尼采反卢梭,凯斯.安塞尔-皮尔逊 / 宗成河、孙磊、熊文驰 / 华夏出版社 / 2005年7月1日 / 29.00元,8.4,(78人评价)
我们人民,（美）阿克曼 / 孙文恺 / 法律出版社 / 2009-08-25 / 58.00元,7.6,(14人评价)
C安全编码标准,Robert C. Seacord / 徐波 / 机械工业出版社 / 2010-1 / 69.00元,8.1,(18人评价)
卡尔腾堡,[德] 马塞尔·巴耶尔 / 韩瑞祥 / 人民文学出版社 / 2010-12 / 25.00元,8.0,(24人评价)
C++程序设计原理与实践,（美）Bjarne Stroustrup / 王刚 等 / 机械工业出版社 / 2010.7 / 108.00元,8.9,(149人评价)
算法：C语言实现,塞奇威克 / 霍红卫 / 机械工业出版社 / 2009-10 / 79.00元,8.7,(164人评价)
UNIX系统编程,罗宾斯 / 陈涓 / 机械工业出版社 / 2005-5 / 78.00元,8.4,(64人评价)
论法学思维的三种模式,[德]卡尔·施密特 / 苏慧婕 / 中国法制出版社 / 2012-1 / 20.00元,7.7,(52人评价)
潘达雷昂上尉与劳军女郎,[秘] 马里奥·巴尔加斯·略萨 / 孙家孟 / 人民文学出版社 / 2009-12 / 20.00元,8.5,(570人评价)
永远的男孩女孩,(美)艾莉森·卢里 / 晏向阳 / 南京大学出版社 / 2008年10月 / 18.00,7.7,(134人评价)
签名收藏家,[英] 扎迪·史密斯 / 唐晓萌，於梅 / 上海译文出版社 / 2009-10 / 30.00元,7.1,(90人评价)
计算机图形学原理及实践:C语言描述(原书第2版) (平装),福利 / 唐泽圣 / 机械工业出版社 / 2004-3 / 95.0,7.4,(12人评价)
Debug Hacks中文版,吉岡弘隆、大和一洋、大岩尚宏、安部東洋、吉田俊輔 / 马晶慧 / 电子工业出版社 / 2011-8 / 69.00元,8.3,(115人评价)
编程精粹,Steve Maguire / 人民邮电出版社 / 2009.2 / 45.00元,9.1,(129人评价)
Learn C the Hard Way,Zed A. Shaw / Addison-Wesley Professional / 2015-4-30 / USD 39.99,8.2,(17人评价)
C语言解惑,Alan R.Feuer / 杨涛、王建桥 / 人民邮电出版社 / 2007 / 25.00元,7.3,(103人评价)
辛德勒名单,[澳大利亚]托马斯·肯尼利 / 冯涛 / 上海译文出版社 / 2009年3月 / 29.00元,8.9,(453人评价)
社会是如何可能的,[德] 齐美尔 / 林荣远 编译 / 广西师范大学出版社 / 2002-12 / 24.80元,8.4,(166人评价)
魔幻家族,大卫・戴 / 东方出版中心 / 2004-2 / 48.00元,8.0,(137人评价)
An Introduction to GCC,Brian J. Gough、Richard M. Stallman / Network Theory Ltd. / 2004-3-30 / USD 19.95,8.8,(96人评价)
深入理解LINUX网络内幕,Christian Benvenuti / 东南大学出版社 / 2006-5 / 98.00元,9.0,(93人评价)
政治观念史稿（卷二）：中世纪（至阿奎那）,沃格林 Eric Voegelin / 叶颖 / 华东师范大学出版社 / 2009-09 / 29.80,8.8,(45人评价)
半人半鱼之神,[美]詹姆斯·冈恩、郭建中（主编） / 北京大学出版社 / 2008-10 / 39.00元,8.5,(52人评价)
历史学家与电影,[法]德拉热、吉格诺 / 杨旭辉、王芳译 / 北京大学出版社 / 2008-6 / 34.00元,6.8,(36人评价)
二十世纪中国文学史,[德]顾彬 / 范劲 等 / 华东师范大学出版社 / 2008-09 / 58.00元,8.2,(192人评价)
30天自制操作系统,[日] 川合秀实 / 周自恒、李黎明、曾祥江、张文旭 / 人民邮电出版社 / 2012-8 / 99.00元,8.3,(249人评价)
古典音乐简单到不行！,（日）吉松隆 / 吴怡文 / 现代出版社 / 2008-01-01 / 23.00元,7.5,(335人评价)
明代政治史（上下）,张显清、林金树 / 广西师范大学出版社 / 2003-12 / 68.00元,7.7,(48人评价)
零基础学C语言,康莉//李宽 / 机械工业 / 2009-4 / 48.00元,7.7,(18人评价)
永远的和平,[美]乔·霍尔德曼 / 乐明 / 四川科学技术出版社 / 2007-5 / 21.00元,7.1,(133人评价)
